# frame,detObj,x,y,z,v,snr,noise,label,hypotenuse
0.000000000000000000e+00,3.300000000000000000e+01,4.499208554625511169e-02,1.439043641090393066e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.410000000000000000e+02,8.280000000000000000e+02,3.000000000000000000e+00,1.439746814104652772e+00
0.000000000000000000e+00,3.400000000000000000e+01,-5.099102854728698730e-01,1.392980337142944336e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.220000000000000000e+02,8.320000000000000000e+02,3.000000000000000000e+00,1.483375447719792461e+00
0.000000000000000000e+00,3.500000000000000000e+01,9.271096438169479370e-02,1.480475425720214844e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.220000000000000000e+02,8.320000000000000000e+02,3.000000000000000000e+00,1.483375478116729207e+00
0.000000000000000000e+00,3.600000000000000000e+01,-4.771887958049774170e-01,1.450528383255004883e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,8.320000000000000000e+02,3.000000000000000000e+00,1.527004170744200362e+00
0.000000000000000000e+00,3.700000000000000000e+01,9.543775767087936401e-02,1.524018764495849609e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,8.320000000000000000e+02,0.000000000000000000e+00,1.527004112674455572e+00
0.000000000000000000e+00,3.800000000000000000e+01,-1.970108032226562500e+00,3.141845226287841797e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,7.890000000000000000e+02,1.000000000000000000e+00,3.708438631633442117e+00
0.000000000000000000e+00,3.900000000000000000e+01,-2.110537767410278320e+00,3.102199316024780273e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,7.810000000000000000e+02,1.000000000000000000e+00,3.752067465279612435e+00
0.000000000000000000e+00,4.000000000000000000e+01,-1.919662356376647949e+00,3.324952840805053711e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.650000000000000000e+02,7.750000000000000000e+02,1.000000000000000000e+00,3.839324804710737116e+00
0.000000000000000000e+00,4.100000000000000000e+01,-2.062819004058837891e+00,3.289696693420410156e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.510000000000000000e+02,7.850000000000000000e+02,1.000000000000000000e+00,3.882953331963632682e+00
0.000000000000000000e+00,4.200000000000000000e+01,-1.963291049003601074e+00,3.400519847869873047e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000000e+02,7.950000000000000000e+02,1.000000000000000000e+00,3.926582098830305068e+00
0.000000000000000000e+00,4.300000000000000000e+01,-2.109174489974975586e+00,3.363622665405273438e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,7.970000000000000000e+02,1.000000000000000000e+00,3.970210884120549455e+00
0.000000000000000000e+00,4.400000000000000000e+01,-2.132352113723754883e+00,3.400585174560546875e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,7.960000000000000000e+02,1.000000000000000000e+00,4.013839192885428453e+00
0.000000000000000000e+00,4.500000000000000000e+01,-1.772415451705455780e-02,3.986623883247375488e-02,0.000000000000000000e+00,1.217325702309608459e-01,3.960000000000000000e+02,6.730000000000000000e+02,3.000000000000000000e+00,4.362869069766205782e-02
0.000000000000000000e+00,4.600000000000000000e+01,-3.544830903410911560e-02,2.543383277952671051e-02,0.000000000000000000e+00,1.217325702309608459e-01,3.960000000000000000e+02,6.730000000000000000e+02,3.000000000000000000e+00,4.362868853443373218e-02
0.000000000000000000e+00,4.700000000000000000e+01,-7.635020464658737183e-02,4.224329441785812378e-02,0.000000000000000000e+00,1.217325702309608459e-01,4.550000000000000000e+02,6.520000000000000000e+02,3.000000000000000000e+00,8.725737603692661215e-02
0.000000000000000000e+00,4.800000000000000000e+01,-3.272151574492454529e-02,8.088975399732589722e-02,0.000000000000000000e+00,1.217325702309608459e-01,4.550000000000000000e+02,6.520000000000000000e+02,3.000000000000000000e+00,8.725737730641029699e-02
0.000000000000000000e+00,4.900000000000000000e+01,-1.186154931783676147e-01,5.533105507493019104e-02,0.000000000000000000e+00,1.217325702309608459e-01,4.570000000000000000e+02,6.380000000000000000e+02,3.000000000000000000e+00,1.308860606697761775e-01
